"","Prec","Acc"
"1",0.931313131313131,0.905865314989138
"2",0.895874263261297,0.900072411296162
"3",0.92798353909465,0.904417089065894
"4",0.908,0.902244750181028
"5",0.932914046121593,0.905865314989138
"6",0.918410041841004,0.900072411296162
"7",0.906444906444906,0.900796524257784
"8",0.932926829268293,0.91383055756698
"9",0.929718875502008,0.913106444605358
"10",0.912621359223301,0.903692976104272
"11",0.929184549356223,0.895003620564808
"12",0.902584493041749,0.907313540912382
"13",0.897435897435897,0.891383055756698
"14",0.908333333333333,0.904417089065894
"15",0.922290388548057,0.91020999275887
"16",0.883268482490272,0.90658942795076
"17",0.937377690802348,0.913106444605358
"18",0.929896907216495,0.901520637219406
"19",0.912244897959184,0.89934829833454
"20",0.919517102615694,0.903692976104272
"21",0.917647058823529,0.91020999275887
"22",0.908221797323136,0.905865314989138
"23",0.934156378600823,0.903692976104272
"24",0.916142557651992,0.909485879797248
"25",0.901639344262295,0.901520637219406
"26",0.912451361867704,0.90296886314265
"27",0.911885245901639,0.897900072411296
"28",0.934959349593496,0.917451122375091
"29",0.904,0.908761766835626
"30",0.9125,0.900796524257784
"31",0.920833333333333,0.900072411296162
"32",0.915354330708661,0.914554670528603
"33",0.918580375782881,0.901520637219406
"34",0.912213740458015,0.903692976104272
"35",0.90625,0.896451846488052
"36",0.919421487603306,0.900072411296162
"37",0.908,0.90296886314265
"38",0.932098765432099,0.90658942795076
"39",0.916492693110647,0.901520637219406
"40",0.920245398773006,0.886314265025344
"41",0.91701244813278,0.908037653874004
"42",0.908141962421712,0.91383055756698
"43",0.919739696312364,0.900796524257784
"44",0.936708860759494,0.916002896451847
"45",0.912065439672802,0.90296886314265
"46",0.929787234042553,0.907313540912382
"47",0.927835051546392,0.89210716871832
"48",0.913684210526316,0.89934829833454
"49",0.933980582524272,0.902244750181028
"50",0.915254237288136,0.907313540912382
"51",0.906639004149378,0.905865314989138
"52",0.907070707070707,0.898624185372918
"53",0.919291338582677,0.901520637219406
"54",0.904858299595142,0.890658942795076
"55",0.908910891089109,0.903692976104272
"56",0.918367346938776,0.90296886314265
"57",0.925553319919517,0.904417089065894
"58",0.93036750483559,0.901520637219406
"59",0.934,0.912382331643736
"60",0.905811623246493,0.90658942795076
"61",0.925,0.907313540912382
"62",0.916167664670659,0.905141202027516
"63",0.924418604651163,0.91383055756698
"64",0.939784946236559,0.919623461259957
"65",0.921325051759834,0.89934829833454
"66",0.922268907563025,0.911658218682114
"67",0.947368421052632,0.919623461259957
"68",0.907070707070707,0.89934829833454
"69",0.907070707070707,0.903692976104272
"70",0.929006085192698,0.905141202027516
"71",0.925196850393701,0.898624185372918
"72",0.935613682092555,0.923244026068067
"73",0.926680244399185,0.89934829833454
"74",0.926380368098159,0.905141202027516
"75",0.904191616766467,0.901520637219406
"76",0.91497975708502,0.910934105720492
"77",0.938775510204082,0.919623461259957
"78",0.926380368098159,0.915278783490225
"79",0.902912621359223,0.898624185372918
"80",0.922330097087379,0.909485879797248
"81",0.905697445972495,0.913106444605358
"82",0.919087136929461,0.911658218682114
"83",0.922924901185771,0.911658218682114
"84",0.919661733615222,0.905865314989138
"85",0.918762088974855,0.905141202027516
"86",0.90356394129979,0.909485879797248
"87",0.908523908523909,0.911658218682114
"88",0.926931106471816,0.910934105720492
"89",0.926530612244898,0.897900072411296
"90",0.906183368869936,0.89572773352643
"91",0.922290388548057,0.905865314989138
"92",0.926470588235294,0.896451846488052
"93",0.918200408997955,0.90658942795076
"94",0.914634146341463,0.921795800144823
"95",0.915322580645161,0.894279507603186
"96",0.944897959183673,0.91383055756698
"97",0.94331983805668,0.908037653874004
"98",0.910891089108911,0.902244750181028
"99",0.92914979757085,0.909485879797248
"100",0.912951167728238,0.905865314989138
